省份,城市,河流,流域,断面名称,监测时间,水质类别,水温,pH,pH类别,溶解氧,溶解氧类别,高锰酸钾,高锰酸钾类别,氨氮,氨氮类别,总磷,总氮,电导率,浊度,叶绿素,藻密度,站点情况
辽宁省,铁岭市,招苏台河,辽河流域,通江口,2022-06-03 00:00:00,Ⅳ,21.41,8.279,-,8.27,-,9.275,-,0.025,-,0.205,4.351,769.18,45.32,,,正常
辽宁省,沈阳市,辽河,辽河流域,马虎山,2022-06-03 00:00:00,Ⅳ,22.92,8.665,-,10.14,-,7.469,-,0.03,-,0.09041,1.976,411,37.7,,,正常
辽宁省,锦州市,西细河,辽河流域,高台子,2022-06-03 00:00:00,Ⅳ,13.73,7.395,-,4.762,-,3.367,-,0.025,-,0.1125,6.741,1100.23,13.174,,,正常
辽宁省,大连市,大沙河,辽河流域,麦家,2022-06-03 00:00:00,Ⅳ,21.9651,7.59764,-,4.24547,-,4.362,-,0.0728,-,0.0882,1.315,398.392,18.0902,,,正常
辽宁省,盘锦市,小柳河,辽河流域,丁家柳河桥,2022-06-03 04:00:00,Ⅳ,22.71,8.176,-,4.192,-,5.23,-,0.15,-,0.125,1.599,382.12,37.015,,,正常
辽宁省,大连市,英那河,辽河流域,万泰,2022-06-03 04:00:00,Ⅰ,21.32,8.12608,-,9.34457,-,1.28193,-,0.03532,-,0.00864,2.02556,119.519,2.43228,,,正常
辽宁省,大连市,复州河,辽河流域,三台子,2022-06-03 04:00:00,Ⅱ,24.02032,8.9027,-,10.0303,-,3.88515,-,0.0401,-,0.08094,4.07092,489.2213,10.45361,,,正常
辽宁省,铁岭市,辽河,辽河流域,三合屯,2022-06-03 04:00:00,Ⅲ,21.4604,8.1449,-,6.9704,-,5.091,-,0.025,-,0.068,1.928,690.108,38.4373,,,正常
辽宁省,辽阳市,太子河,辽河流域,下王家,2022-06-03 04:00:00,Ⅱ,20.5043,7.85053,-,8.583,-,1.45,-,0.025,-,0.0303,2.924,420.99,7.5443,,,正常
辽宁省,辽阳市,下达河,辽河流域,下达河入汤河水库口,2022-06-03 04:00:00,Ⅲ,19.2,7.7715,-,5.329,-,1.968,-,0.0419,-,0.0167,3.2,438.102,8.901,,,正常
辽宁省,铁岭市,柴河,辽河流域,东大桥,2022-06-03 04:00:00,Ⅰ,11.11,7.609,-,10.25,-,1.99,-,0.029,-,0.009,3.141,340.97,5.49,,,正常
辽宁省,沈阳市,浑河,辽河流域,东陵大桥,2022-06-03 04:00:00,Ⅱ,21.02,7.81,-,7.379,-,3.0547,-,0.143,-,0.0861,2.874,575.1,6.7,,,正常
辽宁省,沈阳市,细河,辽河流域,于台,2022-06-03 04:00:00,Ⅲ,19.65,7.958,-,5.83,-,3.476,-,0.727,-,0.112,6.89,691.92,2.021,,,正常
辽宁省,沈阳市,浑河,辽河流域,于家房,2022-06-03 04:00:00,Ⅳ,14.116,7.825,-,12.24,-,7.55,-,0.115,-,0.164,1.983,840.9,33.8,,,正常
辽宁省,铁岭市,亮子河,辽河流域,亮子河入河口,2022-06-03 04:00:00,Ⅳ,22.75,8.035,-,5.82,-,9.703,-,0.0926,-,0.22,2.617,712.549,53.05,,,正常
辽宁省,锦州市,小凌河,辽河流域,何家信子,2022-06-03 04:00:00,Ⅲ,18.81,7.805,-,5.59,-,3.53,-,0.033,-,0.0205,2.075,487.1,3.79,,,正常
辽宁省,沈阳市,蒲河,辽河流域,兴国桥,2022-06-03 04:00:00,Ⅴ,19.23,7.331,-,2.078,-,2.601,-,0.126,-,0.0314,0.654,650.726,0.512,,,正常
辽宁省,本溪市,浑江,辽河流域,凤鸣电站,2022-06-03 04:00:00,Ⅱ,14.61,8.2975,-,12.014,-,2.904,-,0.025,-,0.0151,2.397,245.24,4.64,,,正常
辽宁省,鞍山市,太子河,辽河流域,刘家台,2022-06-03 04:00:00,Ⅱ,21.74,8.069,-,11.194,-,2.962,-,0.1612,-,0.0848,4.064,493.974,12.281,,,正常
辽宁省,抚顺市,太子河北支,辽河流域,北太子河入观音阁水库口,2022-06-03 04:00:00,Ⅲ,19.27,7.79,-,5.55,-,1.4646,-,0.025,-,0.0218,2.194,209.91,3.26,,,正常
辽宁省,抚顺市,浑河清原段,辽河流域,北杂木,2022-06-03 04:00:00,Ⅲ,19.64,7.51,-,5.59,-,2.5251,-,0.03,-,0.0232,1.6453,256.35,14.83,,,正常
辽宁省,本溪市,太子河南支,辽河流域,南太子河入库口,2022-06-03 04:00:00,Ⅰ,20.18,7.4,-,8.209,-,0.406,-,0.025,-,0.0054,2.842,112.1,4.22,,,正常
辽宁省,抚顺市,社河,辽河流域,台沟,2022-06-03 04:00:00,Ⅰ,18.74,7.55,-,7.6,-,1.831,-,0.0452,-,0.016,2.5137,241.11,9.08,,,正常
辽宁省,大连市,碧流河,辽河流域,城子坦,2022-06-03 04:00:00,Ⅱ,23.07467,8.28776,-,7.48192,-,1.63934,-,0.0345,-,0.02976,0.7063,290.2739,20.80922,,,正常
辽宁省,大连市,复州河,辽河流域,复州湾大桥,2022-06-03 04:00:00,Ⅱ,21.4535,7.84397,-,6.93674,-,3.231,-,0.0703,-,0.0559,5.584,485.668,7.41123,,,正常
辽宁省,抚顺市,浑河,辽河流域,大伙房水库,2022-06-03 04:00:00,Ⅰ,17.668,7.988,-,8.708,-,1.748,-,0.025,-,0.0144,2.638,240.617,15.591,0.00942,,正常
辽宁省,朝阳市,大凌河西支,辽河流域,大凌河西支入河口,2022-06-03 04:00:00,Ⅳ,19.21,7.516,-,4.31,-,3.19,-,0.046,-,0.135,14.757,987.96,5.753,,,正常
辽宁省,营口市,大清河,辽河流域,大清河口,2022-06-03 04:00:00,Ⅲ,23.42,8.693,-,20.704,-,4.33,-,0.058,-,0.057,3.319,402.61,12.222,,,正常
辽宁省,锦州市,女儿河,辽河流域,女儿河入河口,2022-06-03 04:00:00,Ⅲ,23.05,8.187,-,18.03,-,5.14,-,0.025,-,0.0544,6.737,770.67,10.91,,,正常
辽宁省,葫芦岛市,六股河,辽河流域,孤家子,2022-06-03 04:00:00,Ⅱ,21.67,8.398,-,7.814,-,2.86,-,0.06,-,0.039,4.79,504.708,12.126,,,正常
辽宁省,鞍山市,太子河,辽河流域,小姐庙,2022-06-03 04:00:00,Ⅱ,21.8198,8.0209,-,9.2638,-,2.5,-,0.146,-,0.038,3.738,531.3297,29.575,,,正常
辽宁省,葫芦岛市,六股河,辽河流域,小渔场,2022-06-03 04:00:00,Ⅱ,20.32,7.997,-,7.192,-,1.59,-,0.039,-,0.041,6.413,626.201,8,,,正常
辽宁省,锦州市,大凌河,辽河流域,张家堡,2022-06-03 04:00:00,Ⅱ,21.55,8.185,-,7.19,-,2.692,-,0.025,-,0.046,4.635,697.7,27.559,,,正常
辽宁省,抚顺市,浑河,辽河流域,戈布桥,2022-06-03 04:00:00,Ⅱ,21.06,8.31,-,8.5,-,3.929,-,0.0413,-,0.0393,2.395,472.7,5.82,,,正常
辽宁省,朝阳市,老虎山河,辽河流域,李家湾大桥,2022-06-03 04:00:00,Ⅱ,15.49,7.6118,-,7.5693,-,0.7755,-,0.0405,-,0.0383,2.8488,532.749,7.6014,,,正常
辽宁省,铁岭市,寇河,辽河流域,松树水文站,2022-06-03 04:00:00,Ⅲ,21.08,8.891,-,14.26,-,5.546,-,0.025,-,0.079,2.337,381.99,10.54,,,正常
辽宁省,铁岭市,柴河,辽河流域,柴河水库入库口,2022-06-03 04:00:00,Ⅲ,20.87,7.759,-,6.531,-,4.28,-,0.033,-,0.081,2.663,387,24.3,,,正常
辽宁省,辽阳市,北沙河,辽河流域,河洪桥,2022-06-03 04:00:00,Ⅳ,21.03,7.20425,-,5.459,-,4.513,-,1.2585,-,0.1971,4.868,643,22.2475,,,正常
辽宁省,铁岭市,清河,辽河流域,清河水库入库口,2022-06-03 04:00:00,Ⅲ,18.14,7.218,-,5.79,-,2.743,-,0.065,-,0.121,2.161,350.23,19.18,,,正常
辽宁省,铁岭市,清河,辽河流域,清辽,2022-06-03 04:00:00,Ⅱ,15.4277,7.7958,-,9.8028,-,2.72,-,0.043,-,0.042,2.605,324.051,12.0285,,,正常
辽宁省,丹东市,爱河,辽河流域,爱河大桥,2022-06-03 04:00:00,-3,20.65,7.811,-,7.58,-,1.708,-,,-,,7.79,225.4,6.49,,,维护
辽宁省,鞍山市,海城河,辽河流域,牛庄,2022-06-03 04:00:00,Ⅲ,22.23,8.01233,-,6.939,-,4.511,-,0.0799,-,0.1125,2.644,730.61,33.6507,,,正常
辽宁省,朝阳市,牤牛河,辽河流域,牤牛河大桥,2022-06-03 04:00:00,Ⅱ,16.08,7.996,-,9.207,-,0.99,-,0.025,-,0.0469,8.746,661.119,76.314,,,正常
辽宁省,锦州市,大凌河,辽河流域,王家沟,2022-06-03 04:00:00,Ⅱ,17,8.104,-,7.867,-,2.25,-,0.025,-,0.019,,642.21,10.97,,,维护
辽宁省,葫芦岛市,大凌河,辽河流域,王家窝棚,2022-06-03 04:00:00,Ⅳ,18.7417,7.3838,-,4.0297,-,2.98,-,0.025,-,0.046,4.857,674.783,3.0708,,,正常
辽宁省,铁岭市,辽河,辽河流域,珠尔山,2022-06-03 04:00:00,Ⅲ,20.5,8.37,-,7.21,-,4.03,-,0.025,-,0.098,2.127,466.2,77.57,,,正常
辽宁省,大连市,登沙河,辽河流域,登化,2022-06-03 04:00:00,Ⅳ,23.5546,7.44047,-,5.57323,-,6.038,-,0.1147,-,0.177,1.541,641.799,10.195,,,正常
辽宁省,盘锦市,辽河,辽河流域,盘锦兴安(兴安),2022-06-03 04:00:00,Ⅲ,22.8,8.293,-,5.33,-,4.976,-,0.108,-,0.111,1.323,378.3,51.01,,,正常
辽宁省,沈阳市,浑河,辽河流域,砂山,2022-06-03 04:00:00,Ⅱ,22.86,8.288,-,14.215,-,3.399,-,0.025,-,0.031,4.19,457.92,5.871,,,正常
辽宁省,朝阳市,大凌河,辽河流域,章吉营,2022-06-03 04:00:00,Ⅲ,21.685,7.8821,-,5.2717,-,3.4943,-,0.066,-,0.1364,6.388,810.97,42.6513,,,正常
辽宁省,葫芦岛市,兴城河,辽河流域,红石碑入海前,2022-06-03 04:00:00,Ⅲ,24.55,8.699,-,11.387,-,5.08,-,0.072,-,0.057,2.247,733.867,25.441,,,正常
辽宁省,盘锦市,绕阳河,辽河流域,胜利塘,2022-06-03 04:00:00,Ⅴ,23.94,8.169,-,10.691,-,10.806,-,0.055,-,0.111,1.399,1921.39,33.07,,,正常
辽宁省,大连市,英那河,辽河流域,英那河入海口,2022-06-03 04:00:00,Ⅱ,23.3,7.65317,-,7.97278,-,3.50184,-,0.03165,-,0.06061,0.72707,235.9596,22.93275,,,正常
辽宁省,营口市,碧流河,辽河流域,茧场,2022-06-03 04:00:00,Ⅱ,22.73,7.78115,-,7.94461,-,2.48829,-,0.07114,-,0.03213,3.41802,290.5515,35.95933,,,正常
辽宁省,辽阳市,太子河,辽河流域,葠窝坝下,2022-06-03 04:00:00,Ⅱ,22.637,7.887,-,10.44,-,2.04,-,0.087,-,0.034,3.3474,342.8,10,,,正常
辽宁省,丹东市,蒲石河,辽河流域,蒲石河大桥,2022-06-03 04:00:00,-3,18.742,7.337,-,7.751,-,1.025,-,,-,,2.22,263.39,2.293,,,维护
辽宁省,营口市,大辽河,辽河流域,辽河公园,2022-06-03 04:00:00,Ⅴ,22.24,7.48,-,7.08,-,11.599,-,1.13,-,0.185,5.062,2129.865,152.55,,,正常
辽宁省,铁岭市,招苏台河,辽河流域,通江口,2022-06-03 04:00:00,Ⅳ,20.52,8.132,-,7.31,-,7.544,-,0.025,-,0.185,4.377,765.25,43.83,,,正常
辽宁省,沈阳市,辽河,辽河流域,马虎山,2022-06-03 04:00:00,Ⅳ,21.84,8.445,-,8.48,-,6.047,-,0.066,-,0.09699,2.12,417.2,36.9,,,正常
辽宁省,锦州市,西细河,辽河流域,高台子,2022-06-03 04:00:00,Ⅳ,13.59,7.43,-,4.193,-,3.467,-,0.025,-,0.1278,6.75,1107.17,18.638,,,正常
辽宁省,大连市,大沙河,辽河流域,麦家,2022-06-03 04:00:00,Ⅳ,21.4828,7.42404,-,3.46205,-,4.406,-,0.0902,-,0.0879,1.33,399.253,17.3112,,,正常
辽宁省,盘锦市,小柳河,辽河流域,丁家柳河桥,2022-06-03 08:00:00,Ⅳ,22.83,8.164,-,4.369,-,5.19,-,0.17,-,0.128,1.598,382.762,31.287,,,正常
辽宁省,大连市,英那河,辽河流域,万泰,2022-06-03 08:00:00,Ⅰ,21.22,8.06765,-,9.2836,-,1.27915,-,0.0356,-,0.00806,1.95846,119.647,2.58284,,,正常
辽宁省,大连市,复州河,辽河流域,三台子,2022-06-03 08:00:00,Ⅱ,24.36938,8.92651,-,10.29039,-,3.71542,-,0.03653,-,0.08849,4.18588,487.8848,11.27753,,,正常
辽宁省,铁岭市,辽河,辽河流域,三合屯,2022-06-03 08:00:00,Ⅲ,21.396,8.18,-,7.7,-,5.512,-,0.025,-,0.066,2.284,687.3,41,,,正常
辽宁省,辽阳市,太子河,辽河流域,下王家,2022-06-03 08:00:00,Ⅱ,20.4378,7.80839,-,8.145,-,1.309,-,0.025,-,0.0292,2.348,422.782,7.64864,,,正常
辽宁省,辽阳市,下达河,辽河流域,下达河入汤河水库口,2022-06-03 08:00:00,Ⅰ,19.81,8.2086,-,10.895,-,1.811,-,0.0282,-,0.0154,3.218,433.522,7.419,,,正常
辽宁省,铁岭市,柴河,辽河流域,东大桥,2022-06-03 08:00:00,Ⅱ,11.36,7.755,-,11.42,-,2.04,-,0.03,-,0.009,3.098,341.27,6.02,,,正常
辽宁省,沈阳市,浑河,辽河流域,东陵大桥,2022-06-03 08:00:00,Ⅱ,21.1,7.786,-,7.531,-,3.203,-,0.164,-,0.0872,2.898,589,6.6,,,正常
辽宁省,沈阳市,细河,辽河流域,于台,2022-06-03 08:00:00,Ⅲ,19.59,7.966,-,6.039,-,3.473,-,0.95,-,0.112,7.164,704.659,1.65,,,正常
辽宁省,沈阳市,浑河,辽河流域,于家房,2022-06-03 08:00:00,Ⅳ,14.12,7.834,-,11.41,-,8.2686,-,0.1408,-,0.163,2.104,842.3,22.7,,,正常
辽宁省,铁岭市,亮子河,辽河流域,亮子河入河口,2022-06-03 08:00:00,Ⅳ,21.35,7.9,-,5.6,-,9.254,-,0.0913,-,0.19,2.942,693.429,42.09,,,正常
辽宁省,锦州市,小凌河,辽河流域,何家信子,2022-06-03 08:00:00,Ⅱ,19.04,8.115,-,9.16,-,3.71,-,0.025,-,0.0208,2.092,482.9,3.89,,,正常
辽宁省,沈阳市,蒲河,辽河流域,兴国桥,2022-06-03 08:00:00,Ⅱ,19.36,7.538,-,10.393,-,2.479,-,0.074,-,0.039,0.935,671.046,2.733,,,正常
辽宁省,本溪市,太子河,辽河流域,兴安,2022-06-03 08:00:00,Ⅱ,15.52,7.863,-,9.313,-,2.237,-,0.025,-,0.0488,2.6383,283.2,12.6,,,正常
辽宁省,本溪市,浑江,辽河流域,凤鸣电站,2022-06-03 08:00:00,Ⅱ,13.88,7.3884,-,9.04,-,2.82,-,0.025,-,0.0134,2.598,247.66,3.523,,,正常
辽宁省,鞍山市,太子河,辽河流域,刘家台,2022-06-03 08:00:00,Ⅱ,21.43,8.18,-,11.986,-,2.955,-,0.1454,-,0.0879,3.909,483.899,16.447,,,正常
辽宁省,抚顺市,太子河北支,辽河流域,北太子河入观音阁水库口,2022-06-03 08:00:00,Ⅱ,19.94,8.79,-,9.58,-,1.7223,-,0.025,-,0.0254,2.156,200.74,3.72,,,正常
辽宁省,抚顺市,浑河清原段,辽河流域,北杂木,2022-06-03 08:00:00,Ⅱ,20.5473,7.9224,-,8.1138,-,2.523,-,0.0276,-,0.0255,1.615,249.7221,12.0713,,,正常
辽宁省,本溪市,太子河南支,辽河流域,南太子河入库口,2022-06-03 08:00:00,Ⅰ,20.25,7.51,-,8.835,-,0.336,-,0.025,-,0.0056,2.849,114.4,4.5,,,正常
辽宁省,抚顺市,社河,辽河流域,台沟,2022-06-03 08:00:00,Ⅱ,19.6,7.94,-,9.48,-,2.569,-,0.0286,-,0.0163,2.47,240.64,5.71,,,正常
辽宁省,大连市,碧流河,辽河流域,城子坦,2022-06-03 08:00:00,Ⅱ,22.4979,8.16473,-,7.0738,-,1.65819,-,0.0414,-,0.0308,0.68138,289.9763,21.72727,,,正常
辽宁省,大连市,复州河,辽河流域,复州湾大桥,2022-06-03 08:00:00,Ⅱ,21.8065,8.07815,-,9.12867,-,3.34,-,0.0621,-,0.0567,5.872,484.513,6.54167,,,正常
辽宁省,抚顺市,浑河,辽河流域,大伙房水库,2022-06-03 08:00:00,Ⅰ,18.498,8.103,-,8.656,-,1.471,-,0.025,-,0.014,2.621,240.66,8.029,0.00994,,正常
辽宁省,朝阳市,大凌河西支,辽河流域,大凌河西支入河口,2022-06-03 08:00:00,Ⅲ,18.93,7.926,-,9.71,-,3.01,-,0.025,-,0.129,14.826,987.9,6.919,,,正常
辽宁省,营口市,大清河,辽河流域,大清河口,2022-06-03 08:00:00,Ⅲ,23.4,8.689,-,19.083,-,4.216,-,0.0588,-,0.0573,3.579,404.34,13.368,,,正常
辽宁省,锦州市,女儿河,辽河流域,女儿河入河口,2022-06-03 08:00:00,Ⅲ,22.86,8.179,-,18.7,-,5.16,-,0.025,-,0.0556,6.777,772.57,10.42,,,正常
辽宁省,葫芦岛市,六股河,辽河流域,孤家子,2022-06-03 08:00:00,Ⅱ,21.55,8.222,-,7.638,-,2.86,-,0.065,-,0.034,4.933,506.848,12.563,,,正常
辽宁省,鞍山市,太子河,辽河流域,小姐庙,2022-06-03 08:00:00,Ⅱ,21.877,8.174,-,10.9,-,2.53,-,0.172,-,0.035,3.686,505.7,34.6,,,正常
辽宁省,葫芦岛市,六股河,辽河流域,小渔场,2022-06-03 08:00:00,Ⅱ,20.2,7.899,-,7.046,-,1.87,-,0.04,-,0.045,6.967,710.323,8.194,,,正常
辽宁省,锦州市,大凌河,辽河流域,张家堡,2022-06-03 08:00:00,Ⅱ,21.06,8.126,-,7.121,-,2.781,-,0.025,-,0.045,4.657,698.69,29.458,,,正常
辽宁省,抚顺市,浑河,辽河流域,戈布桥,2022-06-03 08:00:00,Ⅱ,21.02,8.29,-,8.4,-,3.4067,-,0.042,-,0.04,2.353,462.62,5.67,,,正常
辽宁省,朝阳市,老虎山河,辽河流域,李家湾大桥,2022-06-03 08:00:00,Ⅱ,15.92,7.7789,-,9.5049,-,0.939,-,0.0328,-,0.0348,2.8462,535.508,5.0257,,,正常
辽宁省,铁岭市,寇河,辽河流域,松树水文站,2022-06-03 08:00:00,Ⅲ,20.6,8.85,-,13.76,-,5.498,-,0.025,-,0.088,2.44,382.27,12.61,,,正常
辽宁省,铁岭市,柴河,辽河流域,柴河水库入库口,2022-06-03 08:00:00,Ⅲ,21.54,7.593,-,5.717,-,4.04,-,0.067,-,0.079,3.046,391.1,24,,,正常
辽宁省,辽阳市,北沙河,辽河流域,河洪桥,2022-06-03 08:00:00,Ⅳ,21.7,7.30137,-,6.948,-,4.353,-,1.3038,-,0.2113,5.891,656.8,17.78,,,正常
辽宁省,铁岭市,清河,辽河流域,清河水库入库口,2022-06-03 08:00:00,Ⅲ,18.08,7.286,-,6.84,-,2.449,-,0.082,-,0.116,2.164,352.87,17.3,,,正常
辽宁省,铁岭市,清河,辽河流域,清辽,2022-06-03 08:00:00,Ⅱ,15.599,7.896,-,10.12,-,2.67,-,0.033,-,0.052,2.583,317.9,52.1,,,正常
辽宁省,丹东市,爱河,辽河流域,爱河大桥,2022-06-03 08:00:00,-3,20.49,7.949,-,8.654,-,1.708,-,,-,0.005,7.79,223.9,6.63,,,维护
辽宁省,鞍山市,海城河,辽河流域,牛庄,2022-06-03 08:00:00,Ⅳ,22.39,7.94858,-,4.328,-,4.563,-,0.0905,-,0.1245,2.571,713.719,45.4117,,,正常
辽宁省,朝阳市,牤牛河,辽河流域,牤牛河大桥,2022-06-03 08:00:00,Ⅱ,16.59,8.058,-,10.436,-,1.04,-,0.025,-,0.043,8.83,670.104,54.137,,,正常
辽宁省,锦州市,大凌河,辽河流域,王家沟,2022-06-03 08:00:00,Ⅱ,16.53,8.098,-,8.292,-,2.46,-,0.025,-,0.017,,644.57,11.03,,,维护
辽宁省,葫芦岛市,大凌河,辽河流域,王家窝棚,2022-06-03 08:00:00,Ⅱ,18.61,7.559,-,6.6,-,2.9817,-,0.03,-,0.049,4.6241,680.6,4.8,,,正常
辽宁省,铁岭市,辽河,辽河流域,珠尔山,2022-06-03 08:00:00,Ⅲ,20.59,8.42,-,7.82,-,4.01,-,0.025,-,0.098,2.044,480.3,72.05,,,正常
辽宁省,大连市,登沙河,辽河流域,登化,2022-06-03 08:00:00,Ⅲ,23.3868,7.32699,-,5.11798,-,5.718,-,0.1338,-,0.1829,1.75,640.979,9.03397,,,正常
辽宁省,盘锦市,辽河,辽河流域,盘锦兴安(兴安),2022-06-03 08:00:00,Ⅳ,22.95,8.192,-,4.99,-,5.321,-,0.133,-,0.103,1.305,384.3,39.38,,,正常
辽宁省,沈阳市,浑河,辽河流域,砂山,2022-06-03 08:00:00,Ⅱ,22.88,8.313,-,14.448,-,3.604,-,0.025,-,0.036,4.291,459.022,6.728,,,正常
辽宁省,朝阳市,大凌河,辽河流域,章吉营,2022-06-03 08:00:00,Ⅲ,21.16,7.9,-,6.74,-,3.5451,-,0.0739,-,0.1332,6.397,819.4,35.2,,,正常
辽宁省,葫芦岛市,兴城河,辽河流域,红石碑入海前,2022-06-03 08:00:00,Ⅲ,24.2,8.711,-,11.647,-,5.09,-,0.071,-,0.055,2.083,735.494,22.263,,,正常
辽宁省,盘锦市,绕阳河,辽河流域,胜利塘,2022-06-03 08:00:00,Ⅴ,23.92,8.158,-,10.956,-,12.027,-,0.049,-,0.127,1.501,1991.34,35.75,,,正常
辽宁省,大连市,英那河,辽河流域,英那河入海口,2022-06-03 08:00:00,Ⅱ,22.27,7.42652,-,7.27479,-,3.73432,-,0.03753,-,0.06714,0.82927,235.4469,27.05459,,,正常
辽宁省,营口市,碧流河,辽河流域,茧场,2022-06-03 08:00:00,Ⅱ,22.79,8.26152,-,8.88659,-,1.92642,-,0.07033,-,0.03296,3.43116,287.9436,38.89036,,,正常
辽宁省,辽阳市,太子河,辽河流域,葠窝坝下,2022-06-03 08:00:00,Ⅱ,22.9309,8.0087,-,11.5188,-,2.18,-,0.068,-,0.035,3.349,344.2016,11.0708,,,正常
辽宁省,丹东市,蒲石河,辽河流域,蒲石河大桥,2022-06-03 08:00:00,-3,18.78,7.392,-,8.272,-,1.025,-,,-,,,263.06,2.799,,,维护
辽宁省,营口市,大辽河,辽河流域,辽河公园,2022-06-03 08:00:00,Ⅳ,22.11,7.3,-,7.122,-,9.748,-,1.1575,-,0.2015,4.485,6593.798,376.11,,,正常
辽宁省,铁岭市,招苏台河,辽河流域,通江口,2022-06-03 08:00:00,Ⅳ,20.92,8.204,-,8.82,-,7.43,-,0.025,-,0.176,4.214,773.33,37.23,,,正常
辽宁省,沈阳市,辽河,辽河流域,马虎山,2022-06-03 08:00:00,Ⅳ,21.83,8.507,-,9.33,-,6.335,-,0.036,-,0.07722,1.998,420,36.2,,,正常
辽宁省,锦州市,西细河,辽河流域,高台子,2022-06-03 08:00:00,Ⅳ,13.6,7.46,-,3.946,-,3.433,-,0.025,-,0.1203,6.709,1108.43,19.383,,,正常
辽宁省,大连市,大沙河,辽河流域,麦家,2022-06-03 08:00:00,Ⅳ,21.2812,7.34894,-,3.50159,-,4.364,-,0.089,-,0.0891,1.301,399.863,17.9037,,,正常
辽宁省,盘锦市,小柳河,辽河流域,丁家柳河桥,2022-06-03 12:00:00,Ⅲ,24.4,8.271,-,5.519,-,5.15,-,0.163,-,0.119,1.535,383.894,26.459,,,正常
辽宁省,大连市,英那河,辽河流域,万泰,2022-06-03 12:00:00,Ⅰ,21.14,8.17182,-,9.43729,-,1.24013,-,0.03669,-,0.00759,1.99563,119.415,2.04422,,,正常
辽宁省,大连市,复州河,辽河流域,三台子,2022-06-03 12:00:00,Ⅲ,25.45594,8.97057,-,10.83078,-,3.95695,-,0.03743,-,0.10087,4.21844,482.7095,12.56776,,,正常
辽宁省,铁岭市,辽河,辽河流域,三合屯,2022-06-03 12:00:00,Ⅲ,22.963,8.41,-,9.36,-,5.359,-,0.025,-,0.069,1.973,678.6,44,,,正常
辽宁省,辽阳市,太子河,辽河流域,下王家,2022-06-03 12:00:00,Ⅱ,20.7178,7.85404,-,8.377,-,1.333,-,0.025,-,0.0288,2.949,421.378,7.01675,,,正常
辽宁省,辽阳市,下达河,辽河流域,下达河入汤河水库口,2022-06-03 12:00:00,Ⅱ,23.92,8.6012,-,25.237,-,2.01,-,0.0311,-,0.0179,3.281,413.435,9.878,,,正常
辽宁省,铁岭市,柴河,辽河流域,东大桥,2022-06-03 12:00:00,Ⅱ,12.79,7.943,-,12.16,-,2.14,-,0.03,-,0.009,3.196,338.22,6.1,,,正常
辽宁省,沈阳市,浑河,辽河流域,东陵大桥,2022-06-03 12:00:00,Ⅱ,21.56,7.858,-,8.069,-,3.081,-,0.125,-,0.0928,2.9378,586.8,6.9,,,正常
辽宁省,沈阳市,细河,辽河流域,于台,2022-06-03 12:00:00,Ⅲ,20.81,8.069,-,8.126,-,3.412,-,0.956,-,0.119,7.511,703.656,1.601,,,正常
辽宁省,沈阳市,浑河,辽河流域,于家房,2022-06-03 12:00:00,Ⅳ,14.158,7.829,-,11.55,-,7.55,-,0.123,-,0.159,2.015,800.9,22.5,,,正常
辽宁省,铁岭市,亮子河,辽河流域,亮子河入河口,2022-06-03 12:00:00,Ⅳ,24.43,8.568,-,13.39,-,9.809,-,0.0336,-,0.208,2.835,676.712,48.58,,,正常
辽宁省,锦州市,小凌河,辽河流域,何家信子,2022-06-03 12:00:00,Ⅱ,20.39,8.518,-,15.17,-,3.7,-,0.025,-,0.0216,2.088,478.7,4.73,,,正常
辽宁省,沈阳市,蒲河,辽河流域,兴国桥,2022-06-03 12:00:00,Ⅱ,26.23,7.997,-,22.729,-,2.931,-,0.074,-,0.0516,1.183,668.782,5.076,,,正常
辽宁省,本溪市,太子河,辽河流域,兴安,2022-06-03 12:00:00,Ⅱ,15.84,8.187,-,9.902,-,2.502,-,0.025,-,0.0484,2.624,277.9,13.1,,,正常
辽宁省,本溪市,浑江,辽河流域,凤鸣电站,2022-06-03 12:00:00,Ⅱ,15.1,7.4989,-,9.87,-,2.748,-,0.025,-,0.0117,2.52,250.74,3.25,,,正常
辽宁省,鞍山市,太子河,辽河流域,刘家台,2022-06-03 12:00:00,Ⅱ,21.84,8.501,-,17.985,-,3.424,-,0.025,-,0.0885,3.817,477.85,22.932,,,正常
辽宁省,抚顺市,太子河北支,辽河流域,北太子河入观音阁水库口,2022-06-03 12:00:00,劣Ⅴ,22.4054,9.2477,-,11.4205,-,1.7162,-,0.025,-,0.0266,2.165,202.109,3.7793,,,正常
辽宁省,抚顺市,浑河清原段,辽河流域,北杂木,2022-06-03 12:00:00,Ⅱ,22.03,8.8,-,9.61,-,2.523,-,0.0252,-,0.0288,1.6,252.42,13.93,,,正常
辽宁省,本溪市,太子河南支,辽河流域,南太子河入库口,2022-06-03 12:00:00,Ⅰ,21.99,8.16,-,10.613,-,0.79,-,0.025,-,0.0053,2.867,124,4.31,,,正常
辽宁省,抚顺市,社河,辽河流域,台沟,2022-06-03 12:00:00,Ⅱ,22.78,8.4,-,9.59,-,2.569,-,0.0343,-,0.0179,2.397,241.53,6.43,,,正常
辽宁省,大连市,碧流河,辽河流域,城子坦,2022-06-03 12:00:00,Ⅱ,22.32034,8.14723,-,7.04276,-,1.67814,-,0.04237,-,0.02988,0.63836,289.8942,23.10497,,,正常
